"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","group"
"46",1,"IPW",0.00187325286357695,0.0502745198061324,0.00252752734173719,0.077513773063534,0.0809314302936883,"negative"
"47",0.75,"IPW",0.00326358087647627,0.0471350743207325,0.00222171523122097,0.0703194302036172,0.0704555102719989,"negative"
"48",0.5,"IPW",-0.000102811439037459,0.042223803516544,0.00178284958340371,0.0648916397146655,0.0639525931311208,"negative"
"49",0.25,"IPW",-0.000424796582445906,0.0425985752829602,0.00181463861613803,0.0620655950002256,0.0638969233596247,"negative"
"50",0,"IPW",0.00426304438163755,0.0409632001570793,0.00167798376710894,0.0635891233012272,0.0614458163386344,"negative"
"51",-0.25,"IPW",-0.00225753868765974,0.0430131893944116,0.00185013446187952,0.0664154764688458,0.0644488615906423,"negative"
"52",-0.5,"IPW",-0.00369496314864765,0.0515748315153576,0.00265996324583753,0.0735298338289155,0.0764005480249118,"negative"
"53",-0.75,"IPW",-0.00582275467656558,0.0572216142291732,0.00327431313499232,0.0837729870083668,0.0826145672112268,"negative"
"54",-1,"IPW",-0.00533195353193079,0.0648505945114583,0.00420559960848959,0.0935523899628992,0.0956252063193476,"negative"
"55",1,"MLE",0.00916184324929651,0.0557020894712148,0.00310272277145922,0.0843055592837856,0.0806753788768927,"negative(strong)"
"56",0.75,"MLE",0.000174754680908766,0.0511336881485023,0.00261465406366828,0.0788204812550469,0.076667137895793,"negative(strong)"
"57",0.5,"MLE",0.000522614602236227,0.0527658135015205,0.00278423107447724,0.0758095689572728,0.0759752732471006,"negative(strong)"
"58",0.25,"MLE",0.00338180709040405,0.0478230890921206,0.00228704785031291,0.0756814481871906,0.0754610286011484,"negative(strong)"
"59",0,"MLE",0.00496827337906172,0.0551270359938928,0.00303899009747195,0.0782100549968207,0.0764762654696007,"negative(strong)"
"60",-0.25,"MLE",-0.00388234559515309,0.0523470749498519,0.00274021625580542,0.0824731122089709,0.081444066457243,"negative(strong)"
"61",-0.5,"MLE",-0.00465307942842283,0.0597911414280915,0.00357498059327404,0.0894447407679972,0.0897299287419207,"negative(strong)"
"62",-0.75,"MLE",-0.00374176348489845,0.0652948946392968,0.00426342326595687,0.0976115952821757,0.0976029834711277,"negative(strong)"
"63",-1,"MLE",-0.00137267666049584,0.0754032595987014,0.00568565155810915,0.108490034361246,0.110487727680478,"negative(strong)"
"64",1,"IPW",0.0148959211409753,0.0635309494190563,0.00403618153408669,0.0953373041152026,0.0935211741809698,"negative(strong)"
"65",0.75,"IPW",0.00241072770335804,0.0545651109146236,0.00297735132912517,0.0846166336675157,0.0854037958347772,"negative(strong)"
"66",0.5,"IPW",0.00146501339791423,0.0563596570465806,0.00317641094240819,0.0783274038727509,0.0788614174013363,"negative(strong)"
"67",0.25,"IPW",0.00421923992278913,0.0490876447655261,0.00240959686862648,0.0765026164839833,0.0767585604440998,"negative(strong)"
"68",0,"IPW",0.00501321797968807,0.0551352681797227,0.00303989779724994,0.0786031068534822,0.0765513473540943,"negative(strong)"
"69",-0.25,"IPW",-0.00428972397118578,0.054204808784839,0.00293816129540096,0.0831683681658024,0.0822203438853617,"negative(strong)"
"70",-0.5,"IPW",-0.00465131437648726,0.0615312473679229,0.00378609440265252,0.0904443312775671,0.0909243481423454,"negative(strong)"
"71",-0.75,"IPW",-0.00388016159242149,0.0677315744921515,0.00458756618318587,0.0991325076861735,0.098227648612383,"negative(strong)"
"72",-1,"IPW",-0.00151207740261551,0.0782844086562357,0.0061284486386565,0.11026129209275,0.111973444256438,"negative(strong)"
