"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","group"
"1",1,"MLE",0.00916184324929651,0.0557020894712148,0.00310272277145922,0.0843055592837856,0.0806753788768927,"negative(strong)"
"2",0.75,"MLE",0.000174754680908766,0.0511336881485023,0.00261465406366828,0.0788204812550469,0.076667137895793,"negative(strong)"
"3",0.5,"MLE",0.000522614602236227,0.0527658135015205,0.00278423107447724,0.0758095689572728,0.0759752732471006,"negative(strong)"
"4",0.25,"MLE",0.00338180709040405,0.0478230890921206,0.00228704785031291,0.0756814481871906,0.0754610286011484,"negative(strong)"
"5",0,"MLE",0.00496827337906172,0.0551270359938928,0.00303899009747195,0.0782100549968207,0.0764762654696007,"negative(strong)"
"6",-0.25,"MLE",-0.00388234559515309,0.0523470749498519,0.00274021625580542,0.0824731122089709,0.081444066457243,"negative(strong)"
"7",-0.5,"MLE",-0.00465307942842283,0.0597911414280915,0.00357498059327404,0.0894447407679972,0.0897299287419207,"negative(strong)"
"8",-0.75,"MLE",-0.00374176348489845,0.0652948946392968,0.00426342326595687,0.0976115952821757,0.0976029834711277,"negative(strong)"
"9",-1,"MLE",-0.00137267666049584,0.0754032595987014,0.00568565155810915,0.108490034361246,0.110487727680478,"negative(strong)"
"10",1,"IPW",0.0148959211409753,0.0635309494190563,0.00403618153408669,0.0953373041152026,0.0935211741809698,"negative(strong)"
"11",0.75,"IPW",0.00241072770335804,0.0545651109146236,0.00297735132912517,0.0846166336675157,0.0854037958347772,"negative(strong)"
"12",0.5,"IPW",0.00146501339791423,0.0563596570465806,0.00317641094240819,0.0783274038727509,0.0788614174013363,"negative(strong)"
"13",0.25,"IPW",0.00421923992278913,0.0490876447655261,0.00240959686862648,0.0765026164839833,0.0767585604440998,"negative(strong)"
"14",0,"IPW",0.00501321797968807,0.0551352681797227,0.00303989779724994,0.0786031068534822,0.0765513473540943,"negative(strong)"
"15",-0.25,"IPW",-0.00428972397118578,0.054204808784839,0.00293816129540096,0.0831683681658024,0.0822203438853617,"negative(strong)"
"16",-0.5,"IPW",-0.00465131437648726,0.0615312473679229,0.00378609440265252,0.0904443312775671,0.0909243481423454,"negative(strong)"
"17",-0.75,"IPW",-0.00388016159242149,0.0677315744921515,0.00458756618318587,0.0991325076861735,0.098227648612383,"negative(strong)"
"18",-1,"IPW",-0.00151207740261551,0.0782844086562357,0.0061284486386565,0.11026129209275,0.111973444256438,"negative(strong)"
