"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",0.00993134803292321,0.0908199589957386,0.00824826495198763,0.135981174099647,0.132866080690724,"1:5",0.00262174638869902
"2",1.5,"MLE",0.0047041856618831,0.0735905893851876,0.00541557484605928,0.106799900371581,0.107553394245767,"1:5",0.00212437732956806
"3",1,"MLE",0.00862103047050565,0.0675426699894806,0.00456201226930788,0.0904974731759084,0.0984296233450878,"1:5",0.00194978893501063
"4",0.5,"MLE",0.00512274741784764,0.0548358486113583,0.0030069702929278,0.0818914207000844,0.0843924618552861,"1:5",0.00158297459785046
"5",0,"MLE",-0.00188038001762303,0.0542503600793013,0.00294310156873384,0.0785141642081242,0.0779787535377697,"1:5",0.00156607299977094
"6",-0.5,"MLE",-0.00162063425667659,0.0578309307709973,0.00334441655383988,0.0801041276670648,0.0807833162692277,"1:5",0.00166943517240609
"7",-1,"MLE",0.00369734833710827,0.0597332909094082,0.00356806604286798,0.0898364344015813,0.0883346631233081,"1:5",0.00172435157930645
"8",-1.5,"MLE",-0.00661558245187844,0.0713297170161668,0.00508792852960643,0.10850697174033,0.107937205359177,"1:5",0.00205911156602519
"9",-2,"MLE",-0.0125177572880242,0.0866033461565091,0.00750013956550413,0.135224289583354,0.133638603423752,"1:5",0.00250002326080914
"10",2,"IPW",0.0154476872612798,0.105669133197454,0.0111659657107013,0.156999266852908,0.160738167901563,"1:5",0.00305040512482923
"11",1.5,"IPW",0.006099827651383,0.086216210276895,0.00743323491450977,0.118934780541978,0.121095480215995,"1:5",0.00248884761059374
"12",1,"IPW",0.0105191180629769,0.0719312482069139,0.00517410446860466,0.0961065710877228,0.104937946056856,"1:5",0.00207647627577038
"13",0.5,"IPW",0.00574472266300138,0.0546622837406528,0.00298796526374364,0.0829750348091617,0.086029522761372,"1:5",0.00157796421160928
"14",0,"IPW",-0.00186262574316653,0.0535260274815325,0.00286503561795377,0.0785698896535276,0.0779487383217658,"1:5",0.0015451633187557
"15",-0.5,"IPW",-0.00133859693601409,0.0552347758515701,0.00305088046337319,0.0804037522425943,0.0812848579332901,"1:5",0.00159449063532663
"16",-1,"IPW",0.00116765920825377,0.065170333774818,0.00424717240432118,0.0947329946943778,0.0961566156331959,"1:5",0.00188130548740345
"17",-1.5,"IPW",-0.0142644892804592,0.0847839461878427,0.007188317531183,0.120039442039606,0.126769803505612,"1:5",0.00244750170772548
"18",-2,"IPW",-0.021654265190419,0.108267388760826,0.0117218274690879,0.154333839174164,0.163156963433824,"1:5",0.00312541030227605
