"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",0.00479346680407181,0.0529912932301657,0.00280807715820541,0.0753751213135904,0.0773635221984,"1:2",0.000967484221784419
"2",1.5,"MLE",0.00455594733243453,0.0407404613003454,0.00165978518696494,0.0609739699207699,0.0609822475957102,"1:2",0.000743815655245515
"3",1,"MLE",0.00212641165084855,0.0350391580547971,0.00122774259718906,0.0486142336617087,0.0506198943393371,"1:2",0.000639724575420041
"4",0.5,"MLE",-0.0013471942076339,0.0266681529919441,0.000711190384001736,0.0404697278578841,0.0390740507024265,"1:2",0.000486891632022889
"5",0,"MLE",0.000692450780074619,0.0245960082032919,0.000604963619536401,0.0384102337337739,0.0374852885400099,"1:2",0.000449059617250836
"6",-0.5,"MLE",-0.0012373565054463,0.0294278037059937,0.000865995630958499,0.041181524233014,0.042037613406756,"1:2",0.000537275730253563
"7",-1,"MLE",-0.00117457306307262,0.034236593143208,0.00117214431005355,0.0484410052016399,0.0479922883589589,"1:2",0.000625071811888723
"8",-1.5,"MLE",-0.00139218033048902,0.0419910456923595,0.00176324791833782,0.0589627446104284,0.061633118219142,"1:2",0.000766648097964514
"9",-2,"MLE",-0.0019204185984171,0.0535808623287546,0.00287090880789295,0.0746225379445844,0.0779041208094966,"1:2",0.000978248231601255
"10",2,"IPW",0.0073281916648883,0.0521339563367324,0.00271794940332032,0.08216453325664,0.0818442761950285,"1:2",0.000951831463253924
"11",1.5,"IPW",0.00358767430787305,0.0450611150082773,0.00203050408578919,0.0653930306581928,0.0633615584190903,"1:2",0.000822699638545602
"12",1,"IPW",0.0028876606073116,0.0352465708172451,0.00124232075437508,0.0510309664510262,0.0527817415464077,"1:2",0.000643511397043615
"13",0.5,"IPW",-0.00112400597537947,0.0275407381326821,0.00075849225689297,0.0410886852684894,0.0398949254637819,"1:2",0.00050282278418709
"14",0,"IPW",0.000682073237686495,0.0248582872745723,0.000617934446225162,0.0385087553162082,0.0375168306034893,"1:2",0.000453848156040895
"15",-0.5,"IPW",-0.0014541334233883,0.0283002223612157,0.000800902585694253,0.0418463932718145,0.0435276590711541,"1:2",0.000516689005654998
"16",-1,"IPW",-0.00175493947853131,0.0344702357921437,0.00118819715556598,0.0507616781329019,0.0509805267069649,"1:2",0.000629337523529302
"17",-1.5,"IPW",-0.00152682179148841,0.0442392702544582,0.00195711303264699,0.0630161813831856,0.0653595860938016,"1:2",0.000807694874864469
"18",-2,"IPW",-0.00234349065735333,0.0589062452420643,0.00346994572851822,0.0805770215218634,0.0839190650082123,"1:2",0.001075475976567
