"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",0.00667830590535643,0.0512605080588259,0.00262763968644896,0.0693894723436354,0.0753869717868627,"1:3",0.000810499797416532
"2",1.5,"MLE",0.00494815448557378,0.0401875781056837,0.00161504143400043,0.0562457506060202,0.0580728174631417,"1:3",0.000635421402299378
"3",1,"MLE",0.000109234097830025,0.0305369815577983,0.000932507242661311,0.0450340147410904,0.0452188157331411,"1:3",0.000482832072945996
"4",0.5,"MLE",-3.78998179747748e-05,0.0252533925608226,0.00063773383583101,0.0378961526441743,0.0365256350549933,"1:3",0.000399291195692758
"5",0,"MLE",-0.000513581957076539,0.0267190713314325,0.000713908772814176,0.036193455753424,0.0375673433885654,"1:3",0.000422465611859171
"6",-0.5,"MLE",-0.00202507451876717,0.0259128686704337,0.000671476762731142,0.0386077578290287,0.0379756920180639,"1:3",0.000409718428536947
"7",-1,"MLE",-0.00120396519484632,0.0296460756617652,0.000878889802143108,0.044919736522606,0.0435265403557139,"1:3",0.000468745613884308
"8",-1.5,"MLE",-0.0031578672710152,0.0332192561969549,0.00110351898227893,0.0545443487004189,0.0536388389581373,"1:3",0.000525242558795203
"9",-2,"MLE",-0.0060198486299102,0.0498213777511319,0.00248216968102098,0.0687600568913792,0.0703811880399759,"1:3",0.000787745149306072
"10",2,"IPW",0.0054830617314978,0.0549560810983866,0.00302017084969244,0.0726517211878017,0.077829610910332,"1:3",0.000868931937739148
"11",1.5,"IPW",0.00457243767640466,0.0414770686989945,0.00172034722786111,0.058477044447844,0.0601006509371117,"1:3",0.000655810038780497
"12",1,"IPW",0.000137485095006181,0.0305099862958652,0.000930859263773884,0.0460433179802395,0.0460727155265617,"1:3",0.00048240524037729
"13",0.5,"IPW",0.000240605582996246,0.0257608619216352,0.000663622006945553,0.0382631268724441,0.0368040868955547,"1:3",0.000407314990807346
"14",0,"IPW",-0.000532124707912838,0.0267916157135985,0.000717790672545139,0.036221540866179,0.0375695201370608,"1:3",0.000423612639254644
"15",-0.5,"IPW",-0.00177623919026163,0.0257275258498674,0.000661905586355594,0.038835031761796,0.0383470941066316,"1:3",0.0004067879012322
"16",-1,"IPW",-0.00137409642465244,0.0301480362415064,0.000908904089219181,0.0459544577666392,0.0442895670123445,"1:3",0.000476682307522311
"17",-1.5,"IPW",-0.00272896634050942,0.0362851345563787,0.00131661098977451,0.056219100869539,0.0560910712142471,"1:3",0.0005737183520192
"18",-2,"IPW",-0.00544162442505893,0.049920727353879,0.00249207901954032,0.0717944486202839,0.0729345124821905,"1:3",0.000789316004452641
