"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",0.00514922892582666,0.0374368029153333,0.00140151421252151,0.0632260884902441,0.061715482622015,"1:5",0.000483307047421117
"2",1.5,"MLE",0.0037632607108744,0.0359130260964383,0.00128974544340346,0.0514981072944641,0.0519635615500536,"1:5",0.00046363517327806
"3",1,"MLE",0.00348837281929041,0.0282380296772771,0.000797386320054784,0.0416497129709383,0.0427010951029446,"1:5",0.000364551395566017
"4",0.5,"MLE",0.00053254750705159,0.0235886415403014,0.000556424009716832,0.0355646850606377,0.0346616846472013,"1:5",0.000304528052817479
"5",0,"MLE",-0.00149906129570472,0.0230116507089139,0.00052953606834906,0.034289301512688,0.0338457193061471,"1:5",0.000297079133214553
"6",-0.5,"MLE",0.00191489396069427,0.0256045127446598,0.000655591072891445,0.0361973733807727,0.0360235631197912,"1:5",0.00033055283815941
"7",-1,"MLE",-0.00210780247580463,0.0286577066849704,0.000821264152441797,0.0415090922467298,0.0404582730877305,"1:5",0.000369969402437958
"8",-1.5,"MLE",-0.00534663951167484,0.0365333489436407,0.00133468558503781,0.0499246867889102,0.0507046412782948,"1:5",0.000471643506799682
"9",-2,"MLE",-0.00319335138035788,0.0398278972113485,0.00158626139627774,0.0626745971091304,0.0626990988376667,"1:5",0.000514175942046712
"10",2,"IPW",0.00536077272553688,0.0374740839185446,0.00140430696553412,0.0639289052185555,0.0630139273838588,"1:5",0.000483788343103008
"11",1.5,"IPW",0.00345253294892102,0.0369723737935953,0.00136695642393333,0.0520335144805573,0.0527380668243959,"1:5",0.000477311293241167
"12",1,"IPW",0.00383567487109247,0.0284115103780863,0.000807213921964103,0.0418455251489765,0.0431133990109071,"1:5",0.000366791021783091
"13",0.5,"IPW",0.000397864723945588,0.0236283625441184,0.000558299516516298,0.035522442310681,0.0346948463051498,"1:5",0.000305040848771739
"14",0,"IPW",-0.00150592961227079,0.023092193577917,0.000533249404239989,0.0342814168314582,0.0338395622779392,"1:5",0.000298118937182234
"15",-0.5,"IPW",0.00192222591694742,0.0261599959368745,0.000684345387417289,0.0362016641589126,0.0361009132519847,"1:5",0.000337724095334562
"16",-1,"IPW",-0.0019134656344874,0.0288480393780416,0.000832209375957041,0.0416299842117415,0.0407315820223316,"1:5",0.000372426586939637
"17",-1.5,"IPW",-0.00571683554246601,0.0364460419569826,0.00132831397433014,0.0501710556193617,0.0511436039957441,"1:5",0.000470516378448568
"18",-2,"IPW",-0.00300657530936375,0.0428552831801583,0.00183657529645155,0.0631041754682212,0.0641332191140085,"1:5",0.000553259326845853
