"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",0.000517869601111876,0.04860073370778,0.00236203131693454,0.0656599159496641,0.0672936607459924,"1:4",0.000687318167508257
"2",1.5,"MLE",0.0066854525829289,0.0382836613639169,0.00146563872742706,0.0534972111043921,0.0546899076205933,"1:4",0.000541412731181501
"3",1,"MLE",0.000712097149101372,0.0273205002078306,0.00074640973160607,0.0429405356553403,0.0422004575292776,"1:4",0.000386370219247309
"4",0.5,"MLE",0.000771491263111374,0.0253343184095993,0.000641827689278963,0.0364861669351076,0.0368385531086506,"1:4",0.000358281366883337
"5",0,"MLE",0.00201168384390186,0.0243173792289612,0.000591334932565114,0.0350624578070395,0.0352795429628409,"1:4",0.000343899675069667
"6",-0.5,"MLE",-0.00211863902760432,0.0247226552324691,0.000611209681743534,0.037172274882955,0.0382383153131682,"1:4",0.00034963114327632
"7",-1,"MLE",7.00534939413836e-07,0.0285802097816948,0.000816828391165682,0.0428596580607277,0.0425885752523524,"1:4",0.000404185202887409
"8",-1.5,"MLE",-0.00122640694296674,0.0314623883456084,0.000989881880409877,0.0516333477025589,0.0497142360352041,"1:4",0.000444945363030086
"9",-2,"MLE",-0.00540270422342296,0.0478056986853595,0.00228538482679539,0.0650645220996738,0.0661962806135874,"1:4",0.000676074674395571
"10",2,"IPW",0.000876138463691003,0.0501303707342413,0.00251305406995248,0.067202377157577,0.0694009083883333,"1:4",0.000708950501791554
"11",1.5,"IPW",0.00690916156983331,0.0383667171752568,0.00147200498680615,0.0545875410349175,0.0556288754658704,"1:4",0.000542587317729809
"12",1,"IPW",0.000615505463619585,0.028188035730895,0.000794565358366214,0.0434952363645772,0.04247582681032,"1:4",0.000398639024272891
"13",0.5,"IPW",0.000637528667591396,0.024766786805779,0.000613393728682908,0.0365806000550257,0.0369009046561622,"1:4",0.000350255257971357
"14",0,"IPW",0.00201362289437916,0.0243562139809608,0.000593225159486349,0.0350644244896333,0.0352758582234945,"1:4",0.000344448881399359
"15",-0.5,"IPW",-0.00208685005222642,0.0251491682076826,0.000632480661538315,0.0373148113617925,0.0382132393765567,"1:4",0.000355662947617071
"16",-1,"IPW",3.19932690005333e-07,0.0285951991824617,0.000817685416284657,0.0432667689297997,0.0430518683228823,"1:4",0.000404397185025973
"17",-1.5,"IPW",-0.00147742986243506,0.0332018922536624,0.0011023656492238,0.0525103432390638,0.0512508923904485,"1:4",0.000469545663215795
"18",-2,"IPW",-0.0062211282372793,0.0483629224621958,0.00233897226908436,0.0666852407479949,0.0679634190541391,"1:4",0.000683955008620356
