"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",0.00633232896525749,0.0705803651007371,0.00498158793775335,0.107226845211552,0.102872539711624,"1:2",0.00182237719069596
"2",1.5,"MLE",0.00156175417375223,0.0541384091923234,0.00293096734987545,0.0841503761539055,0.0871541093919671,"1:2",0.00139784771461354
"3",1,"MLE",0.00189648366221068,0.0476122928860224,0.00226693043386438,0.0678592099836705,0.0681446088608691,"1:2",0.00122934411614876
"4",0.5,"MLE",0.00281192685590635,0.0391020867121411,0.0015289731852438,0.058259746923369,0.058220673442042,"1:2",0.00100961153758721
"5",0,"MLE",0.00232121062111968,0.0400538290455885,0.00160430922121323,0.0547255422170942,0.0573783182131867,"1:2",0.00103418541896936
"6",-0.5,"MLE",-0.00199363820190105,0.0384153901323245,0.00147574219901869,0.058342961742718,0.0580996562883907,"1:2",0.000991881108137023
"7",-1,"MLE",-0.00733201203934613,0.0474478522340267,0.00225129868162203,0.0683922053574813,0.0680903122341613,"1:2",0.00122509827677131
"8",-1.5,"MLE",-0.00384100577901891,0.0555834411867469,0.00308951893416055,0.0836139646868068,0.0824212079939661,"1:2",0.00143515828027447
"9",-2,"MLE",-0.00508806923902661,0.068105236630321,0.00463832325647202,0.104157318512347,0.104841618457474,"1:2",0.00175846964839166
"10",2,"IPW",0.0119653104490935,0.0831521853249944,0.00691428592432221,0.126960964567459,0.123998717377353,"1:2",0.00214698019309637
"11",1.5,"IPW",0.00551783460171048,0.0701756043099883,0.00492461544027205,0.0965648590628799,0.0976365182644229,"1:2",0.00181192631201751
"12",1,"IPW",0.00157961439561805,0.050831518807519,0.00258384330427916,0.07392586333554,0.0753341824218133,"1:2",0.00131246417202634
"13",0.5,"IPW",0.00310129285634355,0.0401331360807536,0.00161066861167629,0.0597863964228656,0.0602704364591163,"1:2",0.00103623311781223
"14",0,"IPW",0.00228695203288597,0.0401971175524735,0.00161580825952738,0.0549025552156561,0.0575931646497001,"1:2",0.00103788511230848
"15",-0.5,"IPW",-0.00239480669699977,0.0428647647725362,0.00183738805900486,0.0599410991432094,0.0600379061784389,"1:2",0.00110676346735421
"16",-1,"IPW",-0.00929266300689264,0.0519943114329899,0.00270340842139075,0.0742674996664587,0.0744872920210696,"1:2",0.00134248734851661
"17",-1.5,"IPW",-0.00713345134303649,0.0670887160355201,0.00450089581929465,0.0956772362756459,0.0993230716846691,"1:2",0.00173222319949339
"18",-2,"IPW",-0.0101964043689999,0.0829445626850179,0.00687980047900887,0.122077156440294,0.12791062608961,"1:2",0.00214161939958354
