"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",0.0110207035156403,0.092095075008644,0.00848150284084777,0.128338191504099,0.131227914234191,"1:4",0.00260484208209984
"2",1.5,"MLE",0.00565763066529868,0.0638260869494802,0.00407376937528261,0.100606651362189,0.0992806188724907,"1:4",0.00180527435594319
"3",1,"MLE",0.00831148179288742,0.055404946396145,0.0030697080851597,0.0829413105884301,0.0837024288038472,"1:4",0.00156708853231965
"4",0.5,"MLE",0.00437472974788727,0.0488241856059335,0.00238380110008265,0.0744775223156163,0.0768970599673713,"1:4",0.00138095650911465
"5",0,"MLE",-0.00512279699553245,0.0516093820657623,0.00266352831720983,0.0713631787860327,0.0729545420538611,"1:4",0.00145973376126192
"6",-0.5,"MLE",-0.00121647184975021,0.0502443641464273,0.00252449612847879,0.072720647239802,0.0714324007080935,"1:4",0.0014211252241738
"7",-1,"MLE",-0.00628786027404145,0.0586867100010464,0.00344412993074692,0.0831093947346061,0.0846370198132172,"1:4",0.00165991082429073
"8",-1.5,"MLE",-0.00749994567375794,0.0591492048545886,0.00349862843493009,0.10024230543081,0.0955894606591501,"1:4",0.00167299215417887
"9",-2,"MLE",-0.0117201266003975,0.0814874505551754,0.00664020459798215,0.125444601482235,0.124297324121463,"1:4",0.00230481315476672
"10",2,"IPW",0.0183752044736134,0.107930253512524,0.0116489396232778,0.149901959815801,0.157544122928246,"1:4",0.00305272856615557
"11",1.5,"IPW",0.00847532403219658,0.0753334516758838,0.00567512894140272,0.113188205236602,0.115992427881274,"1:4",0.00213075178120826
"12",1,"IPW",0.0107934254965808,0.060184039829838,0.00362211865023953,0.0884265879986674,0.0906689594872587,"1:4",0.00170226170731519
"13",0.5,"IPW",0.00460535119088925,0.0500884311022013,0.00250885093027996,0.0753074223184025,0.0785089418154491,"1:4",0.00141671477165447
"14",0,"IPW",-0.00504212849412563,0.0518846816971879,0.00269202019481851,0.0713875793906285,0.0728694634896729,"1:4",0.00146752041071148
"15",-0.5,"IPW",-0.000556350911867141,0.0514091913788701,0.00264290495822929,0.0732648776725453,0.0721184108093722,"1:4",0.00145407151357264
"16",-1,"IPW",-0.00767350552063979,0.0661070628450105,0.00437014375799417,0.0887164937728661,0.0929107341493424,"1:4",0.00186979009688129
"17",-1.5,"IPW",-0.0110540602738031,0.0664894936302867,0.00442085276321193,0.112976095753927,0.107867765366707,"1:4",0.00188060687294542
"18",-2,"IPW",-0.0139958609628577,0.0995107083344037,0.00990238107321476,0.145280888069216,0.155745765010614,"1:4",0.00281458786655734
