"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.00997313589818525,0.0658716961152091,0.00433908034909446,0.0988861703750904,0.0994152010566641,800,0.00164679240288023
"2",1.5,"MLE",0.00613025303030716,0.0603305879210878,0.00363977983890411,0.079828605989215,0.0836979350411275,800,0.0015082646980272
"3",1,"MLE",0.00527141138021797,0.0412345199710195,0.00170028563724041,0.0635850403006255,0.065349151285074,800,0.00103086299927549
"4",0.5,"MLE",0.00011845497117761,0.035275259311491,0.00124434391949293,0.0528820600533748,0.0526256916477961,800,0.000881881482787275
"5",0,"MLE",0.00474813838113551,0.0337408902274828,0.00113844767334304,0.0494379381704431,0.0477696745563047,800,0.000843522255687069
"6",-0.5,"MLE",-0.00471045288867679,0.0348934741401756,0.0012175545375711,0.0531842687046539,0.0552492543654101,800,0.000872336853504391
"7",-1,"MLE",-0.00339951003814509,0.0401702552635713,0.00161364940794047,0.0632052418675566,0.0611529217855074,800,0.00100425638158928
"8",-1.5,"MLE",-0.00440432246629169,0.052434980325085,0.00274942716169206,0.0781769720495461,0.0759320398871903,800,0.00131087450812713
"9",-2,"MLE",-0.000446787800247236,0.0626049084095934,0.00391937455697358,0.0963581793415259,0.0944074114577637,800,0.00156512271023983
"10",2,"IPW",0.0170483958591448,0.0791642725573021,0.00626698204952681,0.12162921265247,0.125844749421873,800,0.00197910681393255
"11",1.5,"IPW",0.0122169915620542,0.0698881246004253,0.00488434996016457,0.0953329383532783,0.101392572051429,800,0.00174720311501063
"12",1,"IPW",0.00452512034726605,0.0515255312853598,0.00265488037423859,0.0721034945944369,0.0728901943911764,800,0.00128813828213399
"13",0.5,"IPW",0.00149317773924853,0.0373068218453686,0.00139179895620208,0.0553004907713441,0.0553601980160194,800,0.000932670546134216
"14",0,"IPW",0.0047320875213908,0.0337164002341809,0.00113679564475148,0.049530765145463,0.0477914281635049,800,0.000842910005854523
"15",-0.5,"IPW",-0.00558710833278849,0.0371289073554201,0.00137855576140737,0.0556947112433658,0.0588622500547897,800,0.000928222683885501
"16",-1,"IPW",-0.00564222285144553,0.0454763073384048,0.00206809452913705,0.0714752514722205,0.069934793780733,800,0.00113690768346012
"17",-1.5,"IPW",-0.00672106816612396,0.0623365230389786,0.0038858421045891,0.0925758107334257,0.0942037510255508,800,0.00155841307597446
"18",-2,"IPW",-0.00739379117535058,0.0839691392739376,0.00705081635040594,0.117407094820265,0.119890574577687,800,0.00209922848184844
