"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0198228026640855,0.131497202297244,0.0172915142120024,0.192084636415267,0.192009398182586,200,0.00657486011486222
"2",1.5,"MLE",0.0066892409563558,0.0978920705313746,0.00958285747291962,0.147222906953271,0.146296529388158,200,0.00489460352656873
"3",1,"MLE",0.0082991384425872,0.081546340883283,0.00664980571145259,0.123089347726316,0.125649197230798,200,0.00407731704416415
"4",0.5,"MLE",0.00982425364211542,0.0728166744440235,0.00530226807708691,0.109397564755095,0.109110553154785,200,0.00364083372220118
"5",0,"MLE",-0.00438883881233194,0.0615786868875488,0.00379193467879478,0.102416615643305,0.0954434786380587,200,0.00307893434437744
"6",-0.5,"MLE",0.00247974216186264,0.0715419874072652,0.00511825596218129,0.105609383666414,0.102122214054832,200,0.00357709937036326
"7",-1,"MLE",-0.014229032767956,0.0883828720889368,0.00781153207868937,0.122885260604122,0.12939160754714,200,0.00441914360444684
"8",-1.5,"MLE",-0.0120381853634834,0.113534185223901,0.0128900112144551,0.151141641707342,0.15694061009964,200,0.00567670926119505
"9",-2,"MLE",-0.0201258958528477,0.11976386247552,0.0143433827550553,0.188838101381507,0.183833415386492,200,0.00598819312377601
"10",2,"IPW",0.0784921534147552,0.220075869591647,0.0484333883765197,0.262219156799347,0.338598410551558,200,0.0110037934795824
"11",1.5,"IPW",0.0451381633589605,0.151046959147351,0.0228151838676616,0.193055134258197,0.235562260752447,200,0.00755234795736756
"12",1,"IPW",0.0245069262779384,0.111114440241766,0.012346418830241,0.150541871264418,0.166874398337771,200,0.00555572201208829
"13",0.5,"IPW",0.0189689950702124,0.0781859989445366,0.00611305043095508,0.117131150681644,0.120525021189573,200,0.00390929994722683
"14",0,"IPW",-0.00438618498816476,0.0621306284279921,0.00386021498885723,0.103034164400824,0.0967914912060026,200,0.00310653142139961
"15",-0.5,"IPW",-0.0034839762801971,0.0737442035381617,0.00543820755547783,0.112493069466697,0.111136062301041,200,0.00368721017690809
"16",-1,"IPW",-0.042947559592254,0.11500134559316,0.0132253094882375,0.14888138681086,0.174388635701596,200,0.00575006727965802
"17",-1.5,"IPW",-0.0598481995546711,0.156899524609231,0.0246174608226026,0.197247043537557,0.244392349527201,200,0.00784497623046154
"18",-2,"IPW",-0.0998324021115657,0.228047428839343,0.052005629800235,0.250826559747779,0.334346485367268,200,0.0114023714419671
