"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0189861776117953,0.0961960488826181,0.00925367982062706,0.141394073563987,0.140795840422943,400,0.00340104392441259
"2",1.5,"MLE",0.0103926927286192,0.0743349286693522,0.00552568162027768,0.112628647764469,0.108163904847967,400,0.00262813660705586
"3",1,"MLE",0.00554443169261241,0.0658570203346686,0.00433714712736095,0.0885614364678531,0.0958858799593399,400,0.00232839728336923
"4",0.5,"MLE",0.00316023089000278,0.0512791054534834,0.00262954665610947,0.0760133155084387,0.0759863813848899,400,0.00181299015996691
"5",0,"MLE",-0.00074949076781778,0.048879121264076,0.00238916849554825,0.0712879269251124,0.0726304743572458,400,0.00172813790521339
"6",-0.5,"MLE",-0.00367569010753627,0.0498635576629023,0.00248637438280158,0.0754249898853915,0.0760087108169685,400,0.00176294298787623
"7",-1,"MLE",-0.0050777839636934,0.0579808300909166,0.00336177665803174,0.087012156212492,0.0867938396134757,400,0.00204993190680561
"8",-1.5,"MLE",-0.011754487187473,0.0760240904784271,0.00577966233307207,0.106890753930479,0.112192757428623,400,0.00268785749554177
"9",-2,"MLE",-0.00802922868930459,0.0883559396772713,0.00780677207625361,0.133481400236383,0.139481200283235,400,0.0031238542051954
"10",2,"IPW",0.0444406659898589,0.142660128724376,0.0203519123276556,0.187007181800943,0.210943457979283,400,0.00504379722129761
"11",1.5,"IPW",0.0244694514787327,0.104670473247486,0.0109559079698527,0.143588988693253,0.157905347680888,400,0.00370066007116513
"12",1,"IPW",0.0155669495953313,0.0792617509679493,0.00628242516650522,0.105268449758203,0.117522450588497,400,0.00280232607990782
"13",0.5,"IPW",0.00363516698987197,0.0536879107816369,0.002882391764097,0.0803084348464176,0.0811277363851656,400,0.00189815428907169
"14",0,"IPW",-0.000599908865946443,0.0484855829507699,0.00235085175407599,0.0714074670839944,0.072815951594324,400,0.00171422422471361
"15",-0.5,"IPW",-0.00501027910192614,0.055280899150664,0.00305597781090589,0.0796571183016604,0.0823384196735154,400,0.00195447493297621
"16",-1,"IPW",-0.0100225395167868,0.0718487075977775,0.00516223678347092,0.102104960298742,0.105682369632678,400,0.00254023541809389
"17",-1.5,"IPW",-0.0260931653513495,0.101875567611718,0.0103786312762098,0.136538115728383,0.150242941620384,400,0.00360184523477373
"18",-2,"IPW",-0.0250170298610344,0.129233016461983,0.0167011725438633,0.176081252894512,0.195794749858722,400,0.00456907711467306
