"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.00644330277066167,0.0578756051050309,0.00334958566627347,0.0906570885858447,0.0912102607445637,950,0.00132775744183735
"2",1.5,"MLE",0.00042104139668747,0.0456767532964973,0.00208636579170908,0.0725736578887727,0.0735293405468849,950,0.00104789658783405
"3",1,"MLE",0.00479797302238594,0.0409136971900525,0.00167393061775931,0.0585751559214575,0.0583210543419109,950,0.000938624586621384
"4",0.5,"MLE",0.00239021363056307,0.0356317956602828,0.00126962486197615,0.048111821770745,0.0517020879486761,950,0.000817449455052968
"5",0,"MLE",0.0024830225019629,0.0324771732191886,0.00105476678030918,0.0458712789328512,0.0458492649678189,950,0.00074507745281215
"6",-0.5,"MLE",0.00103531375826297,0.0322447483377771,0.00103972379536658,0.0491095028693201,0.0474450283987703,950,0.00073974526033827
"7",-1,"MLE",-0.00475411072310497,0.0371572397678903,0.00138066046716849,0.0579639909422987,0.0586701908252095,950,0.000852445542995497
"8",-1.5,"MLE",-0.00432329251346397,0.0470311554111888,0.0022119295793114,0.0704745905060138,0.0722287228556901,950,0.00107896870334383
"9",-2,"MLE",-0.00633937860486483,0.0623549673097487,0.00388814194819983,0.089283580423206,0.0923250481306802,950,0.00143052105858409
"10",2,"IPW",0.0118104341424799,0.0716432783260451,0.00513275932930317,0.108146242469857,0.110467336298302,950,0.00164360952740626
"11",1.5,"IPW",0.00170189040879695,0.0590376247521967,0.00348544113638119,0.0854140891478615,0.0870102651312605,950,0.00135441600085
"12",1,"IPW",0.00416624757207574,0.0442698800388203,0.00195982227865154,0.0654154890725672,0.0667319584498122,950,0.00101562070174677
"13",0.5,"IPW",0.00277579119982423,0.0371087226903423,0.00137705729970872,0.0500251792092745,0.0535855460495613,950,0.000851332484900404
"14",0,"IPW",0.00251951936531186,0.0323274335236118,0.00104506295822354,0.0457907757061722,0.0458687818557057,950,0.000741642188597121
"15",-0.5,"IPW",0.000939104155159288,0.0338064660280994,0.00114287714530904,0.0510633138168317,0.049604642019249,950,0.000775573521340664
"16",-1,"IPW",-0.00342192429722499,0.0408230630027161,0.00166652247292373,0.0644510663175935,0.065831273545964,950,0.000936545295761229
"17",-1.5,"IPW",-0.00706428828923489,0.0562678675488903,0.00316607291849947,0.0817452438964974,0.087212485928581,950,0.00129087341270602
"18",-2,"IPW",-0.011290798497564,0.0779107306305141,0.00607008194738052,0.105398155405063,0.114001661593548,950,0.0017873947443991
