"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.012398690052054,0.0738643695759673,0.00545594509285508,0.111000338641844,0.108533271541559,650,0.00204862901489209
"2",1.5,"MLE",0.00657170800916431,0.0601875671716721,0.00362254324204454,0.088475536067256,0.0901558792100845,650,0.00166930276602228
"3",1,"MLE",0.00296803689920971,0.0502466665651698,0.00252472750091135,0.0695503686676782,0.0750798072751529,650,0.00139359179016817
"4",0.5,"MLE",0.00119875893047707,0.0418953303552015,0.00175521870557147,0.0589645074098892,0.0591332306266859,650,0.00116196739844755
"5",0,"MLE",0.00257349453458881,0.0367252299403782,0.00134874251417365,0.0552797060822653,0.0542256812614903,650,0.00101857461271722
"6",-0.5,"MLE",-0.00410454505229409,0.0364959142921773,0.00133195176002195,0.0592647766481323,0.0572438701328642,650,0.00101221454096449
"7",-1,"MLE",-0.00849994457762254,0.049086032322004,0.00240943856911682,0.0700429904314124,0.0756795842217722,650,0.00136140158804668
"8",-1.5,"MLE",-0.0110177188992284,0.058267296428765,0.00339507783311757,0.0862434184706614,0.086009124946124,650,0.00161604403812748
"9",-2,"MLE",-0.00912115641817423,0.0757657137376337,0.00574044337817306,0.105476977169501,0.11029818505326,650,0.0021013628138705
"10",2,"IPW",0.0215224870586674,0.0974930272155208,0.00950489035564628,0.139667185858252,0.144109120133566,650,0.00270397006635205
"11",1.5,"IPW",0.0142683598491918,0.0793868553882202,0.00630227280843019,0.10918048143093,0.116026389404911,650,0.00220179521307748
"12",1,"IPW",0.00866753739956726,0.0596818494202018,0.00356192315021564,0.0800677617281138,0.0865366574811145,650,0.00165527667922352
"13",0.5,"IPW",0.00237284457705465,0.0432903905226448,0.00187405791160309,0.0618050956330184,0.0622763245926369,650,0.00120065940587889
"14",0,"IPW",0.00267087570143796,0.0366014218096776,0.00133966407848994,0.0555536502425441,0.0543021218033311,650,0.00101514079299753
"15",-0.5,"IPW",-0.00388847581280044,0.0399749641228318,0.00159799775662169,0.0622478118943812,0.0594005612447072,650,0.00110870602215156
"16",-1,"IPW",-0.00994256327968028,0.054641945734483,0.00298574223365018,0.0804846718574904,0.0849373886822974,650,0.0015154949010523
"17",-1.5,"IPW",-0.0173055512541072,0.0731997294987541,0.00535820039869078,0.104106768607199,0.106238545795884,650,0.00203019521582963
"18",-2,"IPW",-0.0161517204469775,0.102632293369382,0.0105333876422589,0.131522494044754,0.144642563622452,650,0.00284650766355208
