"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0384047304325496,0.121447146469139,0.0147494093854964,0.17590740262957,0.186969364914281,250,0.00543128150356735
"2",1.5,"MLE",0.013621287100948,0.0927914345526269,0.00861025032633444,0.133583648542245,0.138626671100635,250,0.00414975910778793
"3",1,"MLE",0.0155662242212242,0.0723711066698828,0.00523757708062356,0.109407608351726,0.105863080885624,250,0.00323653428241493
"4",0.5,"MLE",-0.00070356577734539,0.0701569787979845,0.00492200167406084,0.096554117376908,0.0991852374860585,250,0.00313751547376609
"5",0,"MLE",-0.00630403559778837,0.0573295049758687,0.00328667214077815,0.0905010599908749,0.0850188803164123,250,0.00256385340484909
"6",-0.5,"MLE",-0.00588838576127117,0.0670884041982648,0.00450085397786975,0.0931972171726077,0.0964072196522027,250,0.00300028464578605
"7",-1,"MLE",-0.00623868926560346,0.0685855799938907,0.00470398178309838,0.108875520043593,0.108475542701085,250,0.00306724038285178
"8",-1.5,"MLE",-0.0180935759551888,0.0837800572016696,0.00701909798471503,0.133453822516999,0.131456657110497,250,0.00374675806123508
"9",-2,"MLE",-0.0194392380752956,0.114628699726954,0.0131397388010921,0.168219197207369,0.166336521815988,250,0.0051263512952376
"10",2,"IPW",0.0895462466838974,0.196892452971986,0.0387666380373257,0.234273711814923,0.3048323615117,250,0.00880529818204082
"11",1.5,"IPW",0.0366010401150707,0.140260851980756,0.0196731065983675,0.175564980367195,0.200605262319022,250,0.00627265599222012
"12",1,"IPW",0.0293712423854108,0.088987902807333,0.00791884684604734,0.133036887606433,0.137483465807554,250,0.00397965999704682
"13",0.5,"IPW",0.00077384273021522,0.0707394465879289,0.00500406930356645,0.102856473011792,0.105196679980025,250,0.00316356422522649
"14",0,"IPW",-0.00613797005041532,0.0561994692940952,0.00315838034893795,0.090903226328157,0.0851562324410584,250,0.00251331667282018
"15",-0.5,"IPW",-0.0091475187182323,0.0696018781612113,0.0048444214435681,0.0997767661576586,0.101206003295612,250,0.00311269061860253
"16",-1,"IPW",-0.0132672675828484,0.086016605252539,0.00739885637917112,0.130571909807992,0.14234172671375,250,0.00384677953076885
"17",-1.5,"IPW",-0.0441939205272993,0.139509352249921,0.0194628593651926,0.172622411383443,0.20689747287808,250,0.00623904790255575
"18",-2,"IPW",-0.060970780262758,0.187981391262356,0.035337003460931,0.227010688617237,0.268777275660923,250,0.00840678338735227
