"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0179694686632919,0.104265357444185,0.0108712647629637,0.159375238655083,0.165031601880829,300,0.00425661539311921
"2",1.5,"MLE",0.018763961406314,0.0832808298364435,0.00693569661824667,0.125942196052795,0.126296559072675,300,0.003399925640914
"3",1,"MLE",0.0148828820398445,0.0664398465688657,0.00441425321209441,0.101535718556248,0.102934171171776,300,0.00271239537804208
"4",0.5,"MLE",0.000312826703145737,0.0545725519752864,0.00297816342909534,0.087711380460042,0.0837639920965176,300,0.0022279151050161
"5",0,"MLE",0.0014564427418077,0.0558332412731767,0.00311735083106876,0.0819735847013067,0.08431008339272,300,0.00227938253008308
"6",-0.5,"MLE",-0.00862264769505508,0.0608279987122131,0.00370004542733299,0.0868108574940211,0.0919140849717621,300,0.0024832926486599
"7",-1,"MLE",-0.0112604130634794,0.0733679654575073,0.00538285835537398,0.0997351576736668,0.101378669128376,300,0.00299523464728391
"8",-1.5,"MLE",-0.0133537563634982,0.0881264479314527,0.00776627082501504,0.122166565434948,0.127844626855979,300,0.00359774717126682
"9",-2,"MLE",-0.0168413390095305,0.104329693947486,0.0108846850391762,0.154792295903576,0.164669316993906,300,0.00425924191986794
"10",2,"IPW",0.0682803612515502,0.172736323927127,0.0298378376038575,0.215253707780212,0.248398321674876,300,0.00705193089442618
"11",1.5,"IPW",0.0363429020720824,0.116603233241457,0.0135963140023617,0.165070651446587,0.191864915349734,300,0.00476030706333841
"12",1,"IPW",0.0261339201949194,0.081040823083994,0.00656761500613122,0.121728667049026,0.11870888667684,300,0.00330847774818249
"13",0.5,"IPW",0.000845446621671401,0.0537244052272644,0.00288631171702331,0.0930835060273497,0.0870663254849694,300,0.00219328965902185
"14",0,"IPW",0.00166861492005141,0.0572224530313746,0.00327440913092787,0.0821748203059801,0.0842049221770571,300,0.00233609686262074
"15",-0.5,"IPW",-0.0102951376020571,0.0639324946099433,0.00408736386705043,0.0924154304795782,0.0974914197741036,300,0.00261003316295995
"16",-1,"IPW",-0.0181713136438412,0.0832395994884489,0.00692883092299738,0.118959580702239,0.128149114713708,300,0.00339824241900559
"17",-1.5,"IPW",-0.0285428336400655,0.127397883322699,0.0162302206751041,0.157781453226775,0.190263832110515,300,0.00520099680752067
"18",-2,"IPW",-0.0535302845398201,0.153306015261035,0.0235027343152167,0.208477113018619,0.235753421863164,300,0.00625869186481444
