"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0377948997194169,0.143455033022074,0.0205793464993644,0.222923966196674,0.236323131053565,150,0.00828238019319012
"2",1.5,"MLE",0.0299630030763491,0.111174174921215,0.0123596971694128,0.17093847451578,0.178227937912102,150,0.00641864398176979
"3",1,"MLE",0.0113528237812873,0.0931845307768437,0.00868335677610053,0.14329099596167,0.144333442635921,150,0.00538001139283197
"4",0.5,"MLE",-0.000657373455757033,0.0875713566704547,0.00766874250910399,0.125400698508156,0.128036101800898,150,0.00505593463469877
"5",0,"MLE",-0.00432911037620534,0.0751683494061701,0.00565028075244807,0.118534153193568,0.118789257603631,150,0.00433984667641921
"6",-0.5,"MLE",-0.0115163955222615,0.0866959263457444,0.00751618364494674,0.124369070412119,0.126000392860737,150,0.00500539164133595
"7",-1,"MLE",-0.0113952917930079,0.102571971054707,0.0105210092460476,0.138720989666461,0.144330363413059,150,0.00592199550997453
"8",-1.5,"MLE",-0.0274261553228743,0.121810761592988,0.0148378616398637,0.172433904845681,0.180661929418397,150,0.00703274759959047
"9",-2,"MLE",-0.0288801643295533,0.142794036408432,0.0203901368338126,0.211330845206261,0.21523568357941,150,0.00824421753590814
"10",2,"IPW",0.153449829751002,0.284969494918547,0.0812076130341316,0.299038608620863,0.447939666565975,150,0.0164527214602055
"11",1.5,"IPW",0.102108711443546,0.188625957043636,0.0355797516706276,0.22523435222777,0.293107637237618,150,0.0108903247075294
"12",1,"IPW",0.0417326257616276,0.125346027968186,0.0157116267274012,0.176928655713758,0.201659278786412,150,0.00723685629892823
"13",0.5,"IPW",0.00954856921621403,0.0947666052207615,0.00898070946506765,0.134202134890201,0.141317438130127,150,0.00547135250343936
"14",0,"IPW",-0.00405000066210832,0.0779562527638601,0.00607717734498285,0.120414270689272,0.120440744166139,150,0.00450080635182291
"15",-0.5,"IPW",-0.0171847084983227,0.0926653665391226,0.00858687015582994,0.133365170230447,0.13929184072096,150,0.00535003743159178
"16",-1,"IPW",-0.0441021765534882,0.126796158054603,0.016077265697408,0.170398543133721,0.194699720074371,150,0.00732057959850356
"17",-1.5,"IPW",-0.0797265945250295,0.192709037607347,0.0371367731755498,0.225827497425619,0.278447927906196,150,0.0111260614737875
"18",-2,"IPW",-0.125890900374276,0.263953281525975,0.0696713348283305,0.282615361857034,0.392373732854712,150,0.0152393498142507
