"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.065760462394883,0.189281890271632,0.0358276339848021,0.258687051639813,0.280314164696939,100,0.0133842508166879
"2",1.5,"MLE",0.0355021840720563,0.140227829699266,0.0196638442221663,0.210837930633366,0.223914542016769,100,0.00991560492914231
"3",1,"MLE",0.0212675199171923,0.121444065249915,0.0147486609844256,0.177409473116594,0.186484815752659,100,0.00858739220730765
"4",0.5,"MLE",0.0171391021141658,0.113335547058283,0.0128449462270002,0.157377572708884,0.167855148831147,100,0.00801403338743989
"5",0,"MLE",0.00213142660362598,0.101376470914001,0.0102771888549772,0.147845347038572,0.155224454499404,100,0.00716839900360507
"6",-0.5,"MLE",-0.0081940905755259,0.0997836394265608,0.0099567746972099,0.151648701673261,0.15145542470953,100,0.00705576880899945
"7",-1,"MLE",-0.0210350054714809,0.11563137938221,0.0133706158978327,0.167365946982839,0.169463856692614,100,0.00817637324791153
"8",-1.5,"MLE",-0.0493615091166267,0.147960047516171,0.0218921756609875,0.208245198578796,0.217281629367695,100,0.0104623552943368
"9",-2,"MLE",-0.0734280339210066,0.17814658877632,0.0317362070926394,0.270296830885284,0.28790634029054,100,0.0125968660968987
"10",2,"IPW",0.229309958746613,0.342304735447825,0.117172531910006,0.335304562271426,0.533297334671209,100,0.0242045999667424
"11",1.5,"IPW",0.13539656764213,0.242553871489479,0.0588323805745346,0.273890015340124,0.382545285006118,100,0.0171511487333261
"12",1,"IPW",0.075285436746897,0.164509473184308,0.0270633667673787,0.220692558632791,0.28421809064867,100,0.0116325764058051
"13",0.5,"IPW",0.032427958432395,0.128807146154772,0.0165912809005369,0.16924499089985,0.197363742655427,100,0.00910804065113264
"14",0,"IPW",0.00207707332687079,0.100515447194773,0.0101033551247651,0.150006353442249,0.15887884986812,100,0.00710751543254221
"15",-0.5,"IPW",-0.0214506521013671,0.113870467211182,0.0129664833028928,0.1622020391309,0.174116726852487,100,0.00805185795419069
"16",-1,"IPW",-0.080304460276058,0.165503914368401,0.0273915456712632,0.208384489101177,0.24890231844241,100,0.0117028940162814
"17",-1.5,"IPW",-0.153604053663128,0.24344641335461,0.0592661561752235,0.269148112270476,0.384584920799303,100,0.0172142609738588
"18",-2,"IPW",-0.3094128263993,0.371929621267803,0.138331643176411,0.354294495780507,0.582416443606855,100,0.0262993957322608
