"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.00277802227737904,0.0618573236561539,0.00382632848990218,0.0959168887207648,0.0962201968073621,850,0.001500260465602
"2",1.5,"MLE",0.0047390225421457,0.0569264985464018,0.00324062623675349,0.0771577038340613,0.0794713341687597,850,0.00138067039060815
"3",1,"MLE",0.000269771448075548,0.0410344619906686,0.00168382707086362,0.0616943825941377,0.0613558348184882,850,0.000995231888693645
"4",0.5,"MLE",0.00302106379884993,0.0332187935261771,0.00110348824333479,0.0511282481134717,0.0508465701231366,850,0.000805674085082426
"5",0,"MLE",0.00274103819536314,0.0333390517072005,0.00111149236873539,0.0481294063547703,0.0480898964882614,850,0.00080859077439245
"6",-0.5,"MLE",-0.00424077549423472,0.0339539905200304,0.00115287347223432,0.0517412108688581,0.052355316167509,850,0.000823505231325331
"7",-1,"MLE",-0.00597186874374079,0.0447474041008083,0.00200233017376104,0.0616714180984493,0.0646516295157391,850,0.00108528396223429
"8",-1.5,"MLE",-0.00591617099850613,0.0485079691707864,0.00235302307307396,0.0759229021716558,0.0773833084314925,850,0.00117649106220798
"9",-2,"MLE",-0.00553926966581571,0.0675302247971142,0.00456033126114878,0.0940478208151906,0.0977959725621893,850,0.00163784852800122
"10",2,"IPW",0.00360937436037069,0.0769599411081145,0.00592283253536445,0.11680586167207,0.111435826869482,850,0.00186655274194159
"11",1.5,"IPW",0.00682049692141743,0.0661609601750142,0.00437727265127981,0.092056297695246,0.0937351115591874,850,0.0016046389829051
"12",1,"IPW",0.0046290997663307,0.0456905734501163,0.00208762850220047,0.0694306217143306,0.069146676329232,850,0.00110815917899924
"13",0.5,"IPW",0.0027036578926271,0.0344587694852807,0.00118740679443971,0.0533801615034044,0.0523349068421536,850,0.000835747919509548
"14",0,"IPW",0.00273975634901933,0.0336004853590896,0.00112899261636639,0.0481759415689299,0.0480820687119295,850,0.000814931471809095
"15",-0.5,"IPW",-0.00424854969473011,0.0378584985469146,0.00143326591222674,0.0539323963663089,0.0552774716506569,850,0.000918203460801304
"16",-1,"IPW",-0.0110612523086977,0.0500265704700825,0.00250265775299813,0.0691576617956779,0.0705769473892859,850,0.00121332255373856
"17",-1.5,"IPW",-0.00705885700213781,0.0607780284829565,0.00369396874627507,0.0900139442859868,0.0945991572088473,850,0.00147408371265899
"18",-2,"IPW",-0.00800409989293903,0.0806370881640854,0.00650233998758248,0.113484829976173,0.118791758026869,850,0.00195573665789863
