"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0114034299194951,0.0865112856123259,0.00748420253829743,0.132919168838589,0.128794765103669,450,0.00288370952041086
"2",1.5,"MLE",0.00924986485820616,0.0702734442900893,0.00493835697239228,0.103539645886407,0.102138397316109,450,0.00234244814300298
"3",1,"MLE",0.00377790990078661,0.0554511194348453,0.00307482664657748,0.0834981425603547,0.0848742567145377,450,0.00184837064782818
"4",0.5,"MLE",0.00759409784586599,0.0482454578387014,0.00232762420206591,0.0714553015012865,0.0695729635517263,450,0.00160818192795671
"5",0,"MLE",-0.000173198845175277,0.0461578845740678,0.00213055030835297,0.0670699457155126,0.0666833509089716,450,0.00153859615246893
"6",-0.5,"MLE",-0.00584999926396132,0.0478065648410671,0.00228546764190315,0.0704949919019788,0.0687967016145205,450,0.0015935521613689
"7",-1,"MLE",-0.00216358134052509,0.0609162935557835,0.00371079482057439,0.0837623116740935,0.0901301063970415,450,0.00203054311852612
"8",-1.5,"MLE",-0.00454289468030504,0.0628074043369635,0.00394477003954682,0.101470482501119,0.099995693970835,450,0.00209358014456545
"9",-2,"MLE",-0.00455499782920335,0.0889195332913289,0.00790668340074776,0.127875228156864,0.129460072982382,450,0.0029639844430443
"10",2,"IPW",0.037755743176481,0.130696486631617,0.0170815716178485,0.177432886087971,0.187516325528525,450,0.00435654955438724
"11",1.5,"IPW",0.0153154606275837,0.0940446078609753,0.00884438826772461,0.132119903687942,0.136205988707961,450,0.00313482026203251
"12",1,"IPW",0.00893044683484756,0.0625100722982313,0.00390750913873011,0.0979930720127575,0.101816079718862,450,0.00208366907660771
"13",0.5,"IPW",0.0105469321023463,0.0511890745904802,0.00262032135742974,0.0759583126225258,0.0753892407386375,450,0.00170630248634934
"14",0,"IPW",-0.000133830799649224,0.0468068158942661,0.00219087801415972,0.0674098774899613,0.0673566639411665,450,0.00156022719647554
"15",-0.5,"IPW",-0.0089761970982696,0.0501097270611133,0.00251098474613927,0.075009768142416,0.0732625819121723,450,0.00167032423537044
"16",-1,"IPW",-0.00706038421712612,0.0703790776779256,0.00495321457479549,0.0982656542617376,0.107548438995891,450,0.00234596925593085
"17",-1.5,"IPW",-0.0124143662433895,0.0923721731560287,0.00853261837356736,0.126485139580531,0.139677921716055,450,0.00307907243853429
"18",-2,"IPW",-0.0241886942611142,0.123433611642558,0.0152358564831258,0.166766239096963,0.177116698323253,450,0.0041144537214186
