"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.00476116420064836,0.0700035914888753,0.00490050282134134,0.105994547073832,0.10615548575634,700,0.00187092467996468
"2",1.5,"MLE",0.00286033620164961,0.0563081979580956,0.00317061315728808,0.0850207758816904,0.0821545116782883,700,0.00150489989161313
"3",1,"MLE",0.00618460784104186,0.0498157771575169,0.00248161165380738,0.0670113587747894,0.06928442440402,700,0.00133138264699506
"4",0.5,"MLE",0.00234642492419402,0.0389077772944983,0.00151381513399827,0.0563791484837926,0.0560332637799842,700,0.00103985408797796
"5",0,"MLE",-0.00468995021157495,0.0375270742416469,0.00140828130113808,0.0526080616971526,0.0536210651013198,700,0.00100295324671623
"6",-0.5,"MLE",-0.00327301238513171,0.039563475123847,0.00156526856387526,0.0567874933411245,0.0582182856762595,700,0.00105737834959707
"7",-1,"MLE",-0.00350051940590958,0.0471184150258767,0.00222014503455076,0.0674713803322493,0.0684753907087206,700,0.00125929261167608
"8",-1.5,"MLE",-0.00690842833920551,0.0551326242536289,0.00303960625709183,0.0835914286815707,0.0819486664381739,700,0.00147348136279159
"9",-2,"MLE",-0.00840504806951305,0.0703641530138217,0.00495111402935251,0.10226633894324,0.107555884098667,700,0.00188056109205898
"10",2,"IPW",0.012323938881476,0.0904607937301992,0.00818315520229765,0.13291497994446,0.137675462298144,700,0.00241766640767167
"11",1.5,"IPW",0.0143452319809839,0.0708196355697033,0.00501542078222558,0.103289349425243,0.104942804348755,700,0.00189273437541442
"12",1,"IPW",0.00768120094526671,0.0547677400071268,0.00299950534548824,0.0766524639359706,0.0787567267389673,700,0.00146372942110415
"13",0.5,"IPW",0.0041610882460488,0.0402729484113373,0.00162191037374223,0.0593036650081821,0.0598059644980751,700,0.0010763398207889
"14",0,"IPW",-0.00475511187003526,0.0371164876274277,0.00137763365379699,0.0525817926186451,0.0536812480880113,700,0.000991979857873346
"15",-0.5,"IPW",-0.00389169151911265,0.0415434336548089,0.00172585687983151,0.059705569908229,0.0611673440993116,700,0.00111029496718906
"16",-1,"IPW",-0.00336867773724497,0.0538335939070015,0.00289805583294395,0.0772538773144866,0.0794082234732099,700,0.00143876331641943
"17",-1.5,"IPW",-0.0101200082953022,0.0708408881948905,0.00501843144024097,0.100351567481806,0.0986690019460182,700,0.00189330237571456
"18",-2,"IPW",-0.0139021907471456,0.0936136419940739,0.00876351396739464,0.126387004797875,0.134730799902459,700,0.00250192982192813
