"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0128660208356111,0.0597979805476787,0.00357579847758056,0.0939238842611012,0.0910334644674328,900,0.0014094519182175
"2",1.5,"MLE",0.00936563958024718,0.0527988985481942,0.0027877236879025,0.0747855588947421,0.0788074489385487,900,0.00124448197342029
"3",1,"MLE",0.00677577129411641,0.0395578027827415,0.00156481976099827,0.060045924851712,0.0586338695463733,900,0.00093238635321722
"4",0.5,"MLE",0.00132156670087184,0.0324137175507422,0.00105064908545929,0.0495772404308242,0.0485940897511808,900,0.000763998649453173
"5",0,"MLE",0.0016896069454345,0.0322518037999629,0.0010401788483513,0.0467995291237767,0.0469190216261324,900,0.000760182305748393
"6",-0.5,"MLE",0.00253666288666985,0.0332280909119739,0.0011041060256544,0.0502805020035541,0.0517603781111052,900,0.000783193613657994
"7",-1,"MLE",-0.00276998046499393,0.0407312060042691,0.00165903114256221,0.0596783134448332,0.0605100434299733,900,0.000960043732384164
"8",-1.5,"MLE",-0.00707200920854514,0.0457466266245691,0.00209275384752773,0.0736022524875966,0.0704006048542159,900,0.00107825833008806
"9",-2,"MLE",-0.00346879794827101,0.057952228540656,0.00335846079282843,0.091782335107307,0.0883349650701942,900,0.00136594712619902
"10",2,"IPW",0.0192575642974323,0.0752743108525409,0.00566622187432496,0.112645115161114,0.113332731709806,900,0.00177423252176586
"11",1.5,"IPW",0.0132179640790687,0.0607449236507258,0.00368994574933251,0.0875559625851905,0.0873073693689423,900,0.00143177158120291
"12",1,"IPW",0.00762931271918866,0.0448395018416828,0.00201058092541028,0.0676336416897505,0.0654513384182288,900,0.00105687719390935
"13",0.5,"IPW",0.000619262233127703,0.0352391929686216,0.00124180072107975,0.051450271335577,0.0515099960155021,900,0.000830595743721789
"14",0,"IPW",0.00169012788622842,0.0321297427270833,0.00103232036770856,0.0468489054973332,0.0469399529218223,900,0.000757305298669993
"15",-0.5,"IPW",0.00219509767795092,0.0338456706070577,0.00114552941884145,0.0523127807802058,0.0548122482390504,900,0.000797750106668558
"16",-1,"IPW",-0.00498159538471681,0.0440901703157151,0.00194394311846877,0.0664080541316046,0.0674414632608571,900,0.00103921528046373
"17",-1.5,"IPW",-0.00820680640601141,0.0551055958416355,0.00303662669306168,0.0857053226835421,0.0844636678759927,900,0.00129885135003152
"18",-2,"IPW",-0.00724433270601291,0.074866337128163,0.00560496843498776,0.109876178539134,0.108732889139028,900,0.00176461648886408
