"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0100534783847919,0.0641225397103722,0.00411170009890825,0.103301849452087,0.102997249316371,750,0.00165563685609863
"2",1.5,"MLE",-0.00402605612589321,0.055163343762633,0.00304299449507442,0.0824294278217999,0.0824183431395246,750,0.00142431141142528
"3",1,"MLE",0.00149259783679397,0.0448653180678889,0.00201289676533283,0.0650311844310793,0.0659867777791392,750,0.00115841753132822
"4",0.5,"MLE",3.85444742691315e-05,0.0390497252697,0.00152488104363905,0.0544086275336785,0.054854001379201,750,0.00100825957095682
"5",0,"MLE",0.00045602367570875,0.0331001289467383,0.0010956185362907,0.0509510279830111,0.0500948624541709,750,0.00085464165445357
"6",-0.5,"MLE",-0.00176906438418183,0.0343523711952636,0.00118008540673718,0.0547000028542823,0.0538716692534391,750,0.000886974410279943
"7",-1,"MLE",-0.00491712667556727,0.0443637356079891,0.00196814103709556,0.0648731544533505,0.0640561714817555,750,0.00114546672790194
"8",-1.5,"MLE",-0.00659166083637326,0.0580140961323198,0.00336563535005004,0.0807667849226396,0.0834293380960759,750,0.001497917521105
"9",-2,"MLE",-0.0106469876183373,0.0660440340505899,0.00436181443367547,0.0994732834028518,0.104758060510993,750,0.0017052496266286
"10",2,"IPW",0.0102958013765377,0.0885011820566257,0.00783245922542001,0.128498221756547,0.133282903299956,750,0.00228509069483321
"11",1.5,"IPW",-0.00517479775456788,0.0674309471417978,0.00454693263243993,0.100016527148323,0.102460590331102,750,0.00174105956866117
"12",1,"IPW",0.00278049308821288,0.0525679255279616,0.00276338679431332,0.0737044052905969,0.0769804506078177,750,0.00135729800076311
"13",0.5,"IPW",0.000441742892573737,0.0371121516558548,0.00137731180052717,0.056887263977604,0.0576549807628488,750,0.000958231635366999
"14",0,"IPW",0.000448117592726295,0.0323392205250065,0.001045825184165,0.0508861077302599,0.0501314749275746,750,0.000834995083484528
"15",-0.5,"IPW",-0.0018543755170192,0.0353357212615203,0.00124861319707186,0.0572373427068365,0.0554988550858332,750,0.00091236439981397
"16",-1,"IPW",-0.00585549077667418,0.0490042618838126,0.00240141768277729,0.0734629886896046,0.0730473665991767,750,0.00126528460112795
"17",-1.5,"IPW",-0.0114085642972601,0.060528897423329,0.00366374742328388,0.097395547534972,0.096574233656189,750,0.00156284941123233
"18",-2,"IPW",-0.0138162880952199,0.0845082550282213,0.00714164516791489,0.12244444297767,0.127713350616174,750,0.00218199376227567
