"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0111128272865308,0.083252407195164,0.00693096330378939,0.120912523638152,0.117035429681621,550,0.00251015452327494
"2",1.5,"MLE",0.00341850197907033,0.0675069725729951,0.00455719134597112,0.0937399731932586,0.0979999206325352,550,0.0020354118068858
"3",1,"MLE",0.00484271979793265,0.0516707770939073,0.00266986920548825,0.0751201262599476,0.0769936417651706,550,0.00155793254769619
"4",0.5,"MLE",0.00120166656782228,0.0445674752662174,0.0019862598516049,0.0639395957899902,0.062814934002889,550,0.00134375993919534
"5",0,"MLE",4.44905035504927e-05,0.0378810718452521,0.00143497560414515,0.0600005391680451,0.0602338965289745,550,0.00114215729061088
"6",-0.5,"MLE",-0.00456868097401214,0.0444474133756869,0.00197557255578919,0.0643691099137865,0.0661020719022828,550,0.0013401399369907
"7",-1,"MLE",-0.00632906527631951,0.052715033470235,0.002778874753768,0.0764324348171875,0.0812909148948479,550,0.00158941806210724
"8",-1.5,"MLE",-0.00980778145478025,0.0611971571399974,0.00374509204201753,0.0934227876743266,0.0950740661456418,550,0.00184516371336173
"9",-2,"MLE",-0.00973512100339314,0.079412769492409,0.00630638795845448,0.115664988103186,0.116757569753169,550,0.00239438509063002
"10",2,"IPW",0.0266431580661879,0.113457735895719,0.0128726578345828,0.156842928335564,0.168949334853601,550,0.00342087945026671
"11",1.5,"IPW",0.00892181061921829,0.0833566907159344,0.00694833788711193,0.117676555763756,0.122781108445142,550,0.00251329878973141
"12",1,"IPW",0.0101656067661749,0.0626089183461715,0.00391987665647757,0.0872661148911519,0.0917462975789706,550,0.00188772991531136
"13",0.5,"IPW",0.000366426355923972,0.0469347513485116,0.00220287088414661,0.0670638604879358,0.0654807591182329,550,0.00141513599865127
"14",0,"IPW",7.38246861708727e-06,0.0383253990640863,0.00146883621342147,0.0599554826931219,0.0599920294605581,550,0.0011555542603292
"15",-0.5,"IPW",-0.00614183514099109,0.0452369738717395,0.00204638380507244,0.0679339175348126,0.0685390044204687,550,0.00136394608166973
"16",-1,"IPW",-0.00679086175440677,0.0628912703176354,0.00395531188216589,0.0883243786884782,0.0937935595789938,550,0.00189624314756738
"17",-1.5,"IPW",-0.0191994310216589,0.0784236870450054,0.00615027468973294,0.115193985609281,0.122162960895936,550,0.00236456313276853
"18",-2,"IPW",-0.0163739323051682,0.103931830390566,0.0108018253683333,0.147433561940063,0.151050935192207,550,0.00313366259254875
