"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0140365691708382,0.0594554257930076,0.00353494765622783,0.0889845276480873,0.0893032078904742,1000,0.00132946373704359
"2",1.5,"MLE",0.00406555731681009,0.0504094602361755,0.00254111368130256,0.0715303483643847,0.072246131036894,1000,0.00112718979797161
"3",1,"MLE",0.00440953377300542,0.0402104378574754,0.00161687931268989,0.0567608588580285,0.0590690272107267,1000,0.00089913272454346
"4",0.5,"MLE",0.00404285717266522,0.0319668437620472,0.00102187910010713,0.0471479280090238,0.0459181938597347,1000,0.000714800356780526
"5",0,"MLE",-0.00171198276999229,0.0287137470166739,0.000824479267737547,0.044447996962605,0.0439204718447795,1000,0.000642058902180145
"6",-0.5,"MLE",-0.003976175390124,0.0321068490724893,0.00103084975736361,0.0479284590418462,0.0474238283376885,1000,0.000717930970694122
"7",-1,"MLE",-0.00405528714858716,0.0403022883392375,0.00162427444537904,0.0566427494855534,0.057273216606164,1000,0.000901186563753322
"8",-1.5,"MLE",-0.00684746072437609,0.0440300306100275,0.00193864359551996,0.0689477959006961,0.0664241462472549,1000,0.000984541414954181
"9",-2,"MLE",-0.00517837135901156,0.0590671319155757,0.00348892607273202,0.087529058563756,0.0852796941792451,1000,0.00132078122199175
"10",2,"IPW",0.022415825326084,0.0688411358197722,0.00473910198095633,0.105723837950229,0.106063800192851,1000,0.00153933459341306
"11",1.5,"IPW",0.005011814769469,0.0583837048076751,0.00340865698706974,0.0829326475207886,0.0842106154413819,1000,0.00130549932728243
"12",1,"IPW",0.00498334712540585,0.0463806159052112,0.00215116153174673,0.0629876807759284,0.0644413730038505,1000,0.0010371021000236
"13",0.5,"IPW",0.00477012402539863,0.0340438253651524,0.001158982045493,0.0489593430795111,0.0483039939170655,1000,0.000761243077306124
"14",0,"IPW",-0.00160951688180979,0.0288708414439062,0.000833525485679174,0.0445294223452525,0.0438937179342607,1000,0.000645571640361925
"15",-0.5,"IPW",-0.00408129012745945,0.0351758905705596,0.00123734327743198,0.0497055282531098,0.0500090832938199,1000,0.000786556824848651
"16",-1,"IPW",-0.00508127567200906,0.0421010929829044,0.00177250203035516,0.0626599872041924,0.0640008599521168,1000,0.000941409058368136
"17",-1.5,"IPW",-0.00562837785088751,0.0524551664667782,0.00275154448905741,0.0793683801025463,0.078254676762758,1000,0.00117293317990784
"18",-2,"IPW",-0.0110442511874814,0.0716679747665131,0.00513629860713356,0.102721386092146,0.105601417065369,1000,0.00160254463387663
