"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0127629599338336,0.0775622992822205,0.00601591026994475,0.11609002572337,0.119670275173608,600,0.00223903071847782
"2",1.5,"MLE",0.00557101719678871,0.0546978910549128,0.00299185928585511,0.0909699835987907,0.0860036638799817,600,0.00157899210623294
"3",1,"MLE",0.00472873321497456,0.0542033802948631,0.00293800643538955,0.072398814041785,0.0755067580714994,600,0.00156471681021134
"4",0.5,"MLE",-0.000357945567683551,0.0409801095869855,0.00167936938176134,0.0613505111557918,0.0644514679409249,600,0.00118299386507332
"5",0,"MLE",-0.00219466253158716,0.0390490280549941,0.00152482659203972,0.0580547308833164,0.0595038662408276,600,0.00112724834295721
"6",-0.5,"MLE",-0.00332243793187483,0.0407710013645201,0.0016622745522657,0.0619992766498704,0.0619784263567965,600,0.00117695743064681
"7",-1,"MLE",-0.00385077216994346,0.0490416130472595,0.00240507981027713,0.0725095198006432,0.0721136736684326,600,0.00141570942471644
"8",-1.5,"MLE",-0.00351488734856349,0.065060857129201,0.0042329151303863,0.0888867760367628,0.0925456953262243,600,0.0018781451688626
"9",-2,"MLE",-0.0112092042586587,0.0734407344894136,0.00539354148234454,0.111263964099015,0.113085356032636,600,0.00212005139134734
"10",2,"IPW",0.0293633325617535,0.106181013593989,0.0112744076478468,0.147944724838016,0.1617379825355,600,0.00306518183906584
"11",1.5,"IPW",0.00979889005946837,0.0737693004857877,0.00544190969416244,0.112456688268958,0.114029973153945,600,0.00212953627467
"12",1,"IPW",0.00762128256298281,0.0616617488245726,0.00380217126810468,0.0837126355999595,0.086739513345085,600,0.0017800213641285
"13",0.5,"IPW",0.00138691283822215,0.0444083677803515,0.00197210312891496,0.0647113210362598,0.0673566220767268,600,0.00128195915461289
"14",0,"IPW",-0.00211019017997488,0.0387253801186736,0.00149965506533576,0.0581603699092962,0.0597009876559027,600,0.00111790543179934
"15",-0.5,"IPW",-0.00484769651183091,0.0446860800724955,0.00199684575224548,0.0654559177380866,0.064875380818609,600,0.00128997601794422
"16",-1,"IPW",-0.00584110896651483,0.0564302081441732,0.00318436839119471,0.0834946603454118,0.0846068293651099,600,0.00162899979312325
"17",-1.5,"IPW",-0.00689854045510177,0.0889998246088555,0.00792096878040704,0.10994607375036,0.119658208339174,600,0.00256920363478761
"18",-2,"IPW",-0.0241263877592059,0.091577014670807,0.00838634961601721,0.139221863559055,0.146226235901984,600,0.00264360070358864
