"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.012666231347909,0.0882805946675915,0.00779346339486359,0.12752459400449,0.128977046081535,500,0.00279167752343704
"2",1.5,"MLE",0.00701003917264911,0.0641123510749396,0.00411039356035631,0.0981735684431931,0.0976195359090635,500,0.00202741055545154
"3",1,"MLE",0.00961974577324456,0.0562035260322968,0.00315883633846306,0.079284478690494,0.0816983825246511,500,0.00177731154794624
"4",0.5,"MLE",0.00257745605125172,0.0434492610978467,0.00188783828994886,0.0673411461752238,0.0654792909496987,500,0.00137398627720544
"5",0,"MLE",0.0014257445640144,0.0406296624528977,0.0016507694710364,0.0631124184401299,0.0634467307633977,500,0.0012848227391498
"6",-0.5,"MLE",-0.00041372566161744,0.0467771171301739,0.00218809868701001,0.0673570318039748,0.0668963336301198,500,0.00147922232507828
"7",-1,"MLE",-0.00307232370636542,0.0548601786485034,0.00300963920134571,0.0801761816264264,0.07793985564201,500,0.00173483117373009
"8",-1.5,"MLE",-0.0127700279927879,0.0669439583675981,0.00448149356192271,0.0980957585386752,0.098570577254513,500,0.00211695384029098
"9",-2,"MLE",-0.0189264953543917,0.0802227803965029,0.00643569449454553,0.121988414042733,0.12274339342161,500,0.00253686706284455
"10",2,"IPW",0.0277418258208405,0.116503343564307,0.013573029061663,0.165413671512997,0.172314889237643,500,0.0036841592068833
"11",1.5,"IPW",0.0174688870668574,0.0888101551765819,0.00788724366248855,0.1218170946833,0.133255177447988,500,0.00280842369710992
"12",1,"IPW",0.0141493246606959,0.0669252390210675,0.00447898761802702,0.0930186465110539,0.0975149800655763,500,0.00211636188257751
"13",0.5,"IPW",0.00410981737811322,0.0469971901857485,0.00220873588535541,0.0712580859704457,0.0695618853891037,500,0.00148618164615077
"14",0,"IPW",0.00143541816455008,0.0411795337707986,0.00169575400158034,0.0632981623404936,0.0638174776586863,500,0.00130221119699546
"15",-0.5,"IPW",-0.00155729771527595,0.0493264949766887,0.00243310310668529,0.0710022126808888,0.0718662160217644,500,0.0015598407311919
"16",-1,"IPW",-0.00614379260679085,0.0636706205399949,0.00405394791994802,0.0934552637921138,0.0943154271636815,500,0.00201344180942684
"17",-1.5,"IPW",-0.0197884608972217,0.0870165080752804,0.00757187267761534,0.121700582856931,0.127477103189153,500,0.00275170359552321
"18",-2,"IPW",-0.0271502068260892,0.113459707336303,0.0128731051888395,0.158658497163923,0.165344789022618,500,0.00358791097838833
